No.,Time,Source,Destination,Protocol,Length,Info
1,0.009532000000035623,62.210.85.178,10.0.2.15,TLSv1.2,1104,Application Data
1,0.052972999999838066,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,0.05303399999957037,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=334708087 Ack=18169969 Win=65535 Len=0
1,0.053084999999555293,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=334708087 Ack=18170505 Win=65535 Len=0
1,0.14186599999993632,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,0.1420479999997042,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=334373963 Ack=18227219 Win=65535 Len=0
1,0.26140599999962433,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,0.2614849999999933,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=334708087 Ack=18171041 Win=65535 Len=0
1,0.26178600000002916,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,0.26187299999946845,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18171041 Ack=334708623 Win=65535 Len=0
1,0.36848899999949936,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,0.3688830000000962,10.0.2.15,54.93.77.70,TLSv1.2,1618,Application Data
1,0.36900799999966694,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=334374499 Ack=18228783 Win=65535 Len=0
1,0.4772919999995793,62.210.85.178,10.0.2.15,TLSv1.2,1618,Application Data
1,0.47740299999986746,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=334708623 Ack=18172605 Win=65535 Len=0
1,0.4909239999997226,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,0.49108999999953085,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18172605 Ack=334709159 Win=65535 Len=0
1,0.5050249999994776,10.0.2.15,62.210.85.178,TLSv1.2,1618,Application Data
1,0.505153999999493,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18172605 Ack=334710619 Win=65535 Len=0
1,0.5051720000001296,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18172605 Ack=334710723 Win=65535 Len=0
1,0.6002630000002682,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,0.6440679999996064,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=18228783 Ack=334375035 Win=65535 Len=0
1,0.66088899999977,54.93.77.70,10.0.2.15,TLSv1.2,1618,Application Data
1,0.6609790000002249,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=18228783 Ack=334376599 Win=65535 Len=0
1,0.6630329999998139,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,0.6631840000000011,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=334376599 Ack=18229319 Win=65535 Len=0
1,0.8683890000002066,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,0.8687099999997372,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
