No.,Time,Source,Destination,Protocol,Length,Info
1,0.027743999999984226,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,0.07444399999985762,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=15177743 Ack=276806883 Win=65535 Len=0
1,0.09835599999951228,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,0.1424269999997705,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=277156943 Ack=15136523 Win=65535 Len=0
1,0.1744250000001557,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,0.1745970000001762,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=276806883 Ack=15178279 Win=65535 Len=0
1,0.6668620000000374,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,0.6669369999999617,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=277156943 Ack=15137059 Win=65535 Len=0
1,0.667222000000038,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,0.667316999999457,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=15137059 Ack=277157479 Win=65535 Len=0
1,0.8727429999999003,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,0.8728320000000167,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=15178279 Ack=276807419 Win=65535 Len=0
1,0.8732289999998102,10.0.2.15,54.93.77.70,TLSv1.2,1618,Application Data
1,0.8733359999996537,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=276807419 Ack=15179739 Win=65535 Len=0
1,0.8733480000000782,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=276807419 Ack=15179843 Win=65535 Len=0
1,1.0764890000000378,62.210.85.178,10.0.2.15,TLSv1.2,1618,Application Data
1,1.0766139999996085,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=277157479 Ack=15138623 Win=65535 Len=0
1,1.096861999999419,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,1.096983999999793,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=15138623 Ack=277158015 Win=65535 Len=0
1,1.1064040000001114,10.0.2.15,62.210.85.178,TLSv1.2,1618,Application Data
1,1.1065339999995558,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=15138623 Ack=277159475 Win=65535 Len=0
1,1.106550999999854,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=15138623 Ack=277159579 Win=65535 Len=0
1,1.2036779999998544,54.93.77.70,10.0.2.15,TLSv1.2,2132,Application Data
1,1.2037949999994453,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=15179843 Ack=276809497 Win=65535 Len=0
1,1.2058520000000499,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,1.2060199999996257,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=276809497 Ack=15180379 Win=65535 Len=0
1,1.319988999999623,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,1.3202959999998711,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,1.3204049999994822,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=15139159 Ack=277160115 Win=65535 Len=0
1,1.587916999999834,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,1.5882860000001529,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,1.5883850000000166,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=276810033 Ack=15180915 Win=65535 Len=0
1,1.7928029999993669,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,1.797816000000239,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,1.7988859999995839,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=15139695 Ack=277160651 Win=65535 Len=0
1,1.8081309999997757,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,1.8082189999995535,10.0.2.15,62.210.85.178,TCP,2974,35978  >  9001 [ACK] Seq=277164721 Ack=15139695 Win=65535 Len=2920 [TCP segment of a reassembled PDU]
1,1.8082869999998366,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=15139695 Ack=277162111 Win=65535 Len=0
1,1.8083010000000286,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=15139695 Ack=277163571 Win=65535 Len=0
1,1.8083040000001347,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=15139695 Ack=277164721 Win=65535 Len=0
1,1.8083070000002408,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=15139695 Ack=277166181 Win=65535 Len=0
