No.,Time,Source,Destination,Protocol,Length,Info
1,0.004929999999603751,62.210.85.178,10.0.2.15,TLSv1.2,1104,Application Data
1,0.015786999999818363,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=6047705 Ack=108974811 Win=65535 Len=0
1,0.05579699999998411,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=109154523 Ack=6048695 Win=65535 Len=0
1,0.1809769999999844,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,0.18117499999971187,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=108974811 Ack=6048241 Win=65535 Len=0
1,0.30783199999996214,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,0.30791999999973996,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=109154523 Ack=6049231 Win=65535 Len=0
1,0.30848399999968024,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,0.3086129999996956,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=6049231 Ack=109155059 Win=65535 Len=0
1,0.4245459999997365,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,0.424637999999959,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=6048241 Ack=108975347 Win=65535 Len=0
1,0.4251169999997728,10.0.2.15,54.93.77.70,TLSv1.2,1618,Application Data
1,0.4252559999999903,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=108975347 Ack=6049701 Win=65535 Len=0
1,0.4252699999997276,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=108975347 Ack=6049805 Win=65535 Len=0
1,0.5393639999997504,62.210.85.178,10.0.2.15,TLSv1.2,1618,Application Data
1,0.5394889999997758,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=109155059 Ack=6050795 Win=65535 Len=0
1,0.558933999999681,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,0.5591049999998177,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=6050795 Ack=109155595 Win=65535 Len=0
1,0.5708379999996396,10.0.2.15,62.210.85.178,TLSv1.2,1618,Application Data
1,0.5709799999999632,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=6050795 Ack=109157055 Win=65535 Len=0
1,0.5710030000000188,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=6050795 Ack=109157159 Win=65535 Len=0
1,0.6520019999998112,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
