No.,Time,Source,Destination,Protocol,Length,Info
1,0.013925999999628402,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=18619969 Ack=341815405 Win=65535 Len=0
1,0.0405559999999241,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,0.08384799999930692,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=342147219 Ack=18561781 Win=65535 Len=0
1,0.15684499999952095,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,0.15703299999950104,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=341815405 Ack=18620505 Win=65535 Len=0
1,0.15987199999926816,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,0.15991899999971793,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=342147219 Ack=18562317 Win=65535 Len=0
1,0.2835799999993469,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,0.2836559999996098,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=342147219 Ack=18562853 Win=65535 Len=0
1,0.28413799999998446,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,0.28425199999946926,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18562853 Ack=342147755 Win=65535 Len=0
1,0.46088400000007823,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,0.46097399999962363,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=18620505 Ack=341815941 Win=65535 Len=0
1,0.4613519999993514,10.0.2.15,54.93.77.70,TLSv1.2,1618,Application Data
1,0.4614559999999983,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=341815941 Ack=18621965 Win=65535 Len=0
1,0.4614670000000842,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=341815941 Ack=18622069 Win=65535 Len=0
1,0.5856559999992896,62.210.85.178,10.0.2.15,TLSv1.2,1618,Application Data
1,0.5858109999999215,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=342147755 Ack=18564417 Win=65535 Len=0
1,0.6082360000000335,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,0.608462000000145,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18564417 Ack=342148291 Win=65535 Len=0
1,0.6213419999994585,10.0.2.15,62.210.85.178,TLSv1.2,1618,Application Data
1,0.6215309999997771,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18564417 Ack=342149751 Win=65535 Len=0
1,0.6215560000000551,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18564417 Ack=342149855 Win=65535 Len=0
1,0.7811609999998836,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,0.7886319999997795,54.93.77.70,10.0.2.15,TCP,1502,"9001  >  34692 [PSH, ACK] Seq=341816477 Ack=18622069 Win=65535 Len=1448 [TCP segment of a reassembled PDU]"
1,0.7887169999994512,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=18622069 Ack=341817925 Win=65535 Len=0
1,0.804468999999699,54.93.77.70,10.0.2.15,TLSv1.2,170,Application Data
1,0.807198999999855,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,0.8073450000001685,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=341818041 Ack=18622605 Win=65535 Len=0
1,1.2971819999993386,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,1.2974679999997534,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,1.2975790000000416,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18564953 Ack=342150391 Win=65535 Len=0
1,1.454262999999628,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,1.454635999999482,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,1.4547339999999167,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=341818577 Ack=18623141 Win=65535 Len=0
1,1.6055980000001,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,1.6107629999996789,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,1.6109310000001642,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342150927 Win=65535 Len=0
1,1.6211629999997967,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,1.6212619999996605,10.0.2.15,62.210.85.178,TCP,2974,35978  >  9001 [ACK] Seq=342154997 Ack=18565489 Win=65535 Len=2920 [TCP segment of a reassembled PDU]
1,1.6213369999995848,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342152387 Win=65535 Len=0
1,1.6213520000001154,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342153847 Win=65535 Len=0
1,1.6213559999996505,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342154997 Win=65535 Len=0
1,1.621357999999418,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342156457 Win=65535 Len=0
1,1.6213609999995242,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342157917 Win=65535 Len=0
1,1.6213989999996556,10.0.2.15,62.210.85.178,TLSv1.2,1204,Application Data
1,1.6214460000001054,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342159067 Win=65535 Len=0
1,1.6215039999997316,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,1.621542999999292,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342160527 Win=65535 Len=0
1,1.6215509999992719,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342161987 Win=65535 Len=0
1,1.621556000000055,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342163137 Win=65535 Len=0
1,1.6215949999996155,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,1.6216279999998733,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342164597 Win=65535 Len=0
1,1.621635999999853,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342166057 Win=65535 Len=0
1,1.6216960000001563,10.0.2.15,62.210.85.178,TLSv1.2,2974,Application Data
1,1.6217319999996107,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342167207 Win=65535 Len=0
1,1.6217390000001615,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342168667 Win=65535 Len=0
1,1.6217429999996966,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342170127 Win=65535 Len=0
1,1.6217699999997421,10.0.2.15,62.210.85.178,TLSv1.2,1226,Application Data
1,1.6218029999999999,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342171299 Win=65535 Len=0
1,1.6218419999995604,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,1.6218769999995857,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342172759 Win=65535 Len=0
1,1.621882999999798,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342174219 Win=65535 Len=0
1,1.621885999999904,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342175369 Win=65535 Len=0
1,1.6219219999993584,10.0.2.15,62.210.85.178,TLSv1.2,3030,Application Data
1,1.6219569999993837,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342176829 Win=65535 Len=0
1,1.6219639999999345,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342178289 Win=65535 Len=0
1,1.6219670000000406,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342178345 Win=65535 Len=0
1,1.633346999999958,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,1.6334509999996953,10.0.2.15,62.210.85.178,TCP,2974,35978  >  9001 [ACK] Seq=342182415 Ack=18565489 Win=65535 Len=2920 [TCP segment of a reassembled PDU]
1,1.6334759999999733,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342179805 Win=65535 Len=0
1,1.6334849999993821,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342181265 Win=65535 Len=0
1,1.6334909999995944,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342182415 Win=65535 Len=0
1,1.633531999999832,10.0.2.15,62.210.85.178,TLSv1.2,1204,Application Data
1,1.6335769999996046,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342183875 Win=65535 Len=0
1,1.6335840000001554,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342185335 Win=65535 Len=0
1,1.633589000000029,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342186485 Win=65535 Len=0
1,1.6336369999999079,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,1.6336769999998069,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342187945 Win=65535 Len=0
1,1.6336839999994481,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342189405 Win=65535 Len=0
1,1.6336879999998928,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342190555 Win=65535 Len=0
1,1.6337690000000293,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,1.6338619999996808,10.0.2.15,62.210.85.178,TLSv1.2,2974,Application Data
1,1.6338849999992817,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342192015 Win=65535 Len=0
1,1.6338919999998325,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342193475 Win=65535 Len=0
1,1.6338959999993676,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342194625 Win=65535 Len=0
1,1.6339010000001508,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342196085 Win=65535 Len=0
1,1.633904999999686,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342197545 Win=65535 Len=0
1,1.6339429999998174,10.0.2.15,62.210.85.178,TLSv1.2,1226,Application Data
1,1.6339809999999488,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342198717 Win=65535 Len=0
1,1.6340279999994891,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,1.6340709999994942,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342200177 Win=65535 Len=0
1,1.6340769999997065,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=18565489 Ack=342201637 Win=65535 Len=0
