No.,Time,Source,Destination,Protocol,Length,Info
1,0.012156000000686618,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,0.012225000000398722,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=22917215 Ack=421402811 Win=65535 Len=0
1,0.012290000000575674,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=421696697 Ack=22818927 Win=65535 Len=0
1,0.1397030000007362,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,0.13988900000003923,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=421402811 Ack=22917751 Win=65535 Len=0
1,0.20347000000037951,62.210.85.178,10.0.2.15,TLSv1.2,1104,Application Data
1,0.2035250000008091,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=421696697 Ack=22819977 Win=65535 Len=0
1,0.3787769999999,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,0.37885500000083994,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=421696697 Ack=22820513 Win=65535 Len=0
1,0.3791540000001987,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,0.37924000000020897,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=22820513 Ack=421697233 Win=65535 Len=0
1,0.4211009999999078,10.0.2.15,152.89.104.206,TLSv1.3,590,Application Data
1,0.42126099999950384,152.89.104.206,10.0.2.15,TCP,60,9001  >  47334 [ACK] Seq=62848 Ack=66343 Win=65535 Len=0
1,0.4761080000007496,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,0.47620199999983015,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=22917751 Ack=421403347 Win=65535 Len=0
1,0.4765740000002552,10.0.2.15,54.93.77.70,TLSv1.2,1618,Application Data
1,0.4766990000007354,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=421403347 Ack=22919211 Win=65535 Len=0
1,0.47671099999934086,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=421403347 Ack=22919315 Win=65535 Len=0
1,0.6856869999992341,62.210.85.178,10.0.2.15,TLSv1.2,1618,Application Data
1,0.6858130000000529,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=421697233 Ack=22822077 Win=65535 Len=0
1,0.6993419999998878,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,0.6995000000006257,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=22822077 Ack=421697769 Win=65535 Len=0
1,0.7089969999997265,10.0.2.15,62.210.85.178,TLSv1.2,1618,Application Data
1,0.7091190000010101,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=22822077 Ack=421699229 Win=65535 Len=0
1,0.7091330000002927,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=22822077 Ack=421699333 Win=65535 Len=0
1,0.7993029999997816,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,0.8392370000001392,54.93.77.70,10.0.2.15,TCP,1502,"9001  >  34692 [PSH, ACK] Seq=421403883 Ack=22919315 Win=65535 Len=1448 [TCP segment of a reassembled PDU]"
1,0.839309000000867,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=22919315 Ack=421405331 Win=65535 Len=0
1,0.8555149999992864,54.93.77.70,10.0.2.15,TLSv1.2,170,Application Data
1,0.8575089999994816,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,0.8576819999998406,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=421405447 Ack=22919851 Win=65535 Len=0
1,0.994010000000344,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,0.994340999999622,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,0.9944479999994655,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=22822613 Ack=421699869 Win=65535 Len=0
1,1.0968769999999495,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,1.0972290000008798,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,1.0973460000004707,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=421405983 Ack=22920387 Win=65535 Len=0
1,1.1922790000007808,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,1.1976639999993495,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,1.1978259999996226,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=22823149 Ack=421700405 Win=65535 Len=0
1,1.2091629999995348,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,1.2092659999998432,10.0.2.15,62.210.85.178,TCP,2974,35978  >  9001 [ACK] Seq=421704475 Ack=22823149 Win=65535 Len=2920 [TCP segment of a reassembled PDU]
1,1.209316000000399,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=22823149 Ack=421701865 Win=65535 Len=0
