No.,Time,Source,Destination,Protocol,Length,Info
1,0.01700699999992139,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=9440047 Ack=171731253 Win=65535 Len=0
1,0.028306000000156928,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,0.028405000000020664,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=171872643 Ack=9398105 Win=65535 Len=0
1,0.1396709999999075,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,0.1398509999999078,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=171731253 Ack=9440583 Win=65535 Len=0
1,0.20030399999996007,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,0.20036900000013702,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=171872643 Ack=9398641 Win=65535 Len=0
1,0.3752629999999044,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,0.3753560000000107,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=171872643 Ack=9399177 Win=65535 Len=0
1,0.375821999999971,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,0.37593599999991056,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9399177 Ack=171873179 Win=65535 Len=0
1,0.47714200000018536,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,0.4772320000001855,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=9440583 Ack=171731789 Win=65535 Len=0
1,0.4776249999999891,10.0.2.15,54.93.77.70,TLSv1.2,1618,Application Data
1,0.47772500000019136,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=171731789 Ack=9442043 Win=65535 Len=0
1,0.47773700000016106,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=171731789 Ack=9442147 Win=65535 Len=0
1,0.5879800000002433,62.210.85.178,10.0.2.15,TLSv1.2,1618,Application Data
1,0.5881050000002688,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=171873179 Ack=9400741 Win=65535 Len=0
1,0.6016519999998309,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,0.6018279999998413,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9400741 Ack=171873715 Win=65535 Len=0
1,0.6158599999998842,10.0.2.15,62.210.85.178,TLSv1.2,1618,Application Data
1,0.6159950000001118,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9400741 Ack=171875175 Win=65535 Len=0
1,0.6160129999998389,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9400741 Ack=171875279 Win=65535 Len=0
1,0.7185140000001411,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,0.7593600000000151,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=9442147 Ack=171732325 Win=65535 Len=0
1,0.8345870000002833,54.93.77.70,10.0.2.15,TLSv1.2,1618,Application Data
