No.,Time,Source,Destination,Protocol,Length,Info
1,0.011527999999998428,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=234155135 Ack=12792105 Win=65535 Len=0
1,0.021185999999943306,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=12876929 Ack=234060351 Win=65535 Len=0
1,0.021372000000155822,62.210.85.178,10.0.2.15,TLSv1.2,1104,Application Data
1,0.021428000000014435,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=234155135 Ack=12793155 Win=65535 Len=0
1,0.07255600000007689,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,0.07265000000006694,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=234155135 Ack=12793691 Win=65535 Len=0
1,0.13143100000070262,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,0.1315870000007635,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=234060351 Ack=12877465 Win=65535 Len=0
1,0.252081000000544,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,0.25216400000044814,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=234155135 Ack=12794227 Win=65535 Len=0
1,0.25264400000014575,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,0.25277400000049965,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=12794227 Ack=234155671 Win=65535 Len=0
1,0.47740000000067084,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,0.4774890000007872,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=12877465 Ack=234060887 Win=65535 Len=0
1,0.4779480000006515,10.0.2.15,54.93.77.70,TLSv1.2,1618,Application Data
1,0.47809700000016164,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=234060887 Ack=12878925 Win=65535 Len=0
1,0.47811100000035367,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=234060887 Ack=12879029 Win=65535 Len=0
1,0.6828430000005028,62.210.85.178,10.0.2.15,TLSv1.2,1618,Application Data
1,0.6830110000000786,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=234155671 Ack=12795791 Win=65535 Len=0
1,0.7022530000003826,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,0.702436000000489,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=12795791 Ack=234156207 Win=65535 Len=0
1,0.7130329999999958,10.0.2.15,62.210.85.178,TLSv1.2,1618,Application Data
1,0.7132140000003346,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=12795791 Ack=234157667 Win=65535 Len=0
1,0.713238000000274,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=12795791 Ack=234157771 Win=65535 Len=0
1,0.8040350000001126,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,0.8448370000005525,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=12879029 Ack=234061423 Win=65535 Len=0
1,1.4043310000006386,54.93.77.70,10.0.2.15,TLSv1.2,1618,Application Data
1,1.404409000000669,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=12879029 Ack=234062987 Win=65535 Len=0
1,1.4064130000006116,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,1.4065880000007382,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=234062987 Ack=12879565 Win=65535 Len=0
1,1.514126000000033,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,1.5145070000007763,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,1.5146540000005189,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=12796327 Ack=234158307 Win=65535 Len=0
1,1.630724000000555,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,1.6311009999999442,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,1.6312010000001465,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=234063523 Ack=12880101 Win=65535 Len=0
1,1.8083460000007108,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,1.812738999999965,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,1.8128820000001724,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=12796863 Ack=234158843 Win=65535 Len=0
1,1.8253469999999652,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,1.8254409999999552,10.0.2.15,62.210.85.178,TCP,2974,35978  >  9001 [ACK] Seq=234162913 Ack=12796863 Win=65535 Len=2920 [TCP segment of a reassembled PDU]
1,1.8254820000001928,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=12796863 Ack=234160303 Win=65535 Len=0
1,1.8254940000006172,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=12796863 Ack=234161763 Win=65535 Len=0
1,1.825499000000491,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=12796863 Ack=234162913 Win=65535 Len=0
1,1.825502000000597,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=12796863 Ack=234164373 Win=65535 Len=0
1,1.8255040000003646,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=12796863 Ack=234165833 Win=65535 Len=0
1,1.8255500000004758,10.0.2.15,62.210.85.178,TLSv1.2,1204,Application Data
1,1.8255830000007336,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=12796863 Ack=234166983 Win=65535 Len=0
1,1.8256270000001678,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,1.8256600000004255,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=12796863 Ack=234168443 Win=65535 Len=0
1,1.8256680000004053,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=12796863 Ack=234169903 Win=65535 Len=0
1,1.825673000000279,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=12796863 Ack=234171053 Win=65535 Len=0
1,1.8257100000000719,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,1.8257430000003296,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=12796863 Ack=234172513 Win=65535 Len=0
1,1.825749999999971,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=12796863 Ack=234173973 Win=65535 Len=0
1,1.825807000000168,10.0.2.15,62.210.85.178,TLSv1.2,2974,Application Data
1,1.8258450000002995,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=12796863 Ack=234175123 Win=65535 Len=0
1,1.8258519999999407,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=12796863 Ack=234176583 Win=65535 Len=0
1,1.8258550000000469,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=12796863 Ack=234178043 Win=65535 Len=0
1,1.8258810000006633,10.0.2.15,62.210.85.178,TLSv1.2,1226,Application Data
1,1.8259140000000116,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=12796863 Ack=234179215 Win=65535 Len=0
1,1.8259550000002491,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,1.8259900000002744,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=12796863 Ack=234180675 Win=65535 Len=0
