No.,Time,Source,Destination,Protocol,Length,Info
1,0.14111500000035448,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,0.1412960000016028,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=373270533 Ack=20286781 Win=65535 Len=0
1,0.49407000000064727,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,0.49438499999996566,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,0.4944850000010774,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=20205369 Ack=373581153 Win=65535 Len=0
1,0.6322150000014517,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,0.6322920000002341,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=20286781 Ack=373271069 Win=65535 Len=0
1,0.632688000001508,10.0.2.15,54.93.77.70,TLSv1.2,1618,Application Data
1,0.6328030000004219,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=373271069 Ack=20288241 Win=65535 Len=0
1,0.6328150000008463,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=373271069 Ack=20288345 Win=65535 Len=0
1,0.7501420000007784,62.210.85.178,10.0.2.15,TLSv1.2,1618,Application Data
1,0.7502800000002026,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=373581153 Ack=20206933 Win=65535 Len=0
1,0.7641030000013416,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,0.7642830000004324,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=20206933 Ack=373581689 Win=65535 Len=0
1,0.7749970000004396,10.0.2.15,62.210.85.178,TLSv1.2,1618,Application Data
1,0.775141000000076,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=20206933 Ack=373583149 Win=65535 Len=0
1,0.7751560000015161,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=20206933 Ack=373583253 Win=65535 Len=0
1,0.8832750000001397,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,0.9091290000014851,54.93.77.70,10.0.2.15,TLSv1.2,1618,Application Data
1,0.9092710000004445,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=20288345 Ack=373273169 Win=65535 Len=0
1,0.9114830000016809,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,0.9116800000010699,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=373273169 Ack=20288881 Win=65535 Len=0
1,1.016765000000305,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,1.017085000001316,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,1.017187000001286,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=20207469 Ack=373583789 Win=65535 Len=0
1,1.1173910000015894,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,1.117790000000241,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,1.1178910000016913,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=373273705 Ack=20289417 Win=65535 Len=0
1,1.313348000001497,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,1.3230570000014268,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,1.3232400000015332,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=20208005 Ack=373584325 Win=65535 Len=0
1,1.3347800000010466,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,1.3349200000011479,10.0.2.15,62.210.85.178,TCP,2974,35978  >  9001 [ACK] Seq=373588395 Ack=20208005 Win=65535 Len=2920 [TCP segment of a reassembled PDU]
1,1.334965000000011,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=20208005 Ack=373585785 Win=65535 Len=0
1,1.334976000000097,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=20208005 Ack=373587245 Win=65535 Len=0
1,1.3349800000014511,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=20208005 Ack=373588395 Win=65535 Len=0
1,1.3349850000013248,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=20208005 Ack=373589855 Win=65535 Len=0
1,1.33498900000086,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=20208005 Ack=373591315 Win=65535 Len=0
1,1.3350440000012895,10.0.2.15,62.210.85.178,TLSv1.2,1204,Application Data
1,1.335112000000663,10.0.2.15,62.210.85.178,TCP,2974,35978  >  9001 [ACK] Seq=373592465 Ack=20208005 Win=65535 Len=2920 [TCP segment of a reassembled PDU]
1,1.3351500000007945,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=20208005 Ack=373592465 Win=65535 Len=0
